,addr,loc,d_hub
1393, 122102 ,"[28.243612232967223,76.99621106628061]",POWERGRID
1394, 122102 ,"[28.28899390695273,77.02781287838643]",POWERGRID
1395,aruna asaf ali marg pocket 5 and 6 sector b vasant kunj new delhi delhi 110067 ,"[28.529439987299547,77.17047399321572]",POWERGRID
1396, garat pur bas  122102 ,"[28.326281350324336,77.02553516328085]",POWERGRID
1397,sehravan dhani rd sairawan ki dhani gurugram  122051 ,"[28.335029595343148,76.90588741778484]",POWERGRID
1398, gurgaon sadhrana bamripur gurugram  122505 ,"[28.454761527755846,76.91431495907598]",POWERGRID
1399,3 badsa rd badsa  124105 ,"[28.516521422390678,76.87019983823055]",POWERGRID
1400, dhumaspur  122005 ,"[28.38322637296083,77.08063192244491]",POWERGRID
1401,western peripheral expy sultanpur gurugram  122505 ,"[28.44985448622029,76.85949796450465]",POWERGRID
1402,  122413 ,"[28.29798895761268,76.88639111541686]",POWERGRID
1403,gurgaon farukh nagar rd sultanpur gurugram  122006 ,"[28.457714054585068,76.85194459228576]",POWERGRID
1404, fatehpur beri new delhi delhi 110047 ,"[28.457560939580144,77.17161358808688]",POWERGRID
1405, sector 107 gurugram  122006 ,"[28.500923088627804,76.97836603068615]",POWERGRID
1406,imt rd sector 91 gurugram  122051 ,"[28.399314096225876,76.91974715276275]",POWERGRID
1407,ghummanhera delhi ,"[28.544043389117913,76.93142210206354]",POWERGRID
1408,a2 tower ireo skyon sector 60 gurugram  122102 ,"[28.39839220137814,77.09661648335104]",POWERGRID
1409,mdr137 sanjay colony bhatti kalan new delhi  110074 ,"[28.414007749657465,77.2299445774155]",POWERGRID
1410, junapur village jaunapur new delhi delhi 110047 ,"[28.469184319150912,77.15819156350386]",POWERGRID
1411, sirohi  121005 ,"[28.31709605189922,77.18617631290898]",POWERGRID
1412,damdama lake  122102 ,"[28.320249737114803,77.1448164224266]",POWERGRID
1413,dtc dwarka sector-2 depot pocket 1 sector 2 dwarka dwarka new delhi delhi 110075 ,"[28.598599551911093,77.06361600495168]",POWERGRID
1414, sultanpur  122506 ,"[28.458357800054394,76.84212731301542]",POWERGRID
1415,116 vikas nagar sector 10 gurugram  122001 ,"[28.456191482182405,77.0003754306305]",POWERGRID
1416, kadarpur  122102 ,"[28.385551479227743,77.08795164172292]",POWERGRID
1417,green ave st ghitorni new delhi delhi 110070 ,"[28.50623370251261,77.14940446580539]",POWERGRID
1418, ghatta kanarpur sector 58 ghata  122102 ,"[28.424271267152037,77.1179993899041]",POWERGRID
1419, pali  121004 ,"[28.393997216097972,77.23301134823356]",POWERGRID
1420, sector 96 gurugram  122051 ,"[28.39885146117348,76.88030114195688]",POWERGRID
1421, badusarai delhi 110071 ,"[28.532528023070316,76.98431102104283]",POWERGRID
1422,sultanpur kaliawas halt sultanpur gurugram  122505 ,"[28.460084424849438,76.86763583709025]",POWERGRID
1423,western peripheral expy panchgaon  122015 ,"[28.31530992486911,76.89375451735192]",POWERGRID
1424, kot  121005 ,"[28.337899953452574,77.18050140631355]",POWERGRID
1425,1321 market street jharsa village sector 39 gurugram  122022 ,"[28.43990814709122,77.04700764551679]",POWERGRID
1426, sector 62 gurugram  122102 ,"[28.41028237441273,77.08859393683822]",POWERGRID
1427,d road ansal villas sat bari new delhi delhi 110074 ,"[28.47656448090109,77.20055117332774]",POWERGRID
1428,rampura-mohammadpur road  122103 ,"[28.280299677689133,76.98896352537109]",POWERGRID
1429,ssn marg sat bari new delhi delhi 110074 ,"[28.46920662041827,77.18787594818889]",POWERGRID
1430,tauru rd  122015 ,"[28.275845911166964,76.88463041359505]",POWERGRID
1431,139 rajiv colony sector 33 gurugram  122001 ,"[28.44665154993828,77.02109654434848]",POWERGRID
1432, berka  122102 ,"[28.29548725020764,77.08875523993831]",POWERGRID
1433,dharmarth marg shankar vihar new delhi delhi 110057 ,"[28.5693241163121,77.14253561784031]",POWERGRID
1434, sadhrana bamripur gurugram  122505 ,"[28.46416785571158,76.90582475937256]",POWERGRID
1435, atta  122103 ,"[28.212432104776425,77.09137485270334]",POWERGRID
1436,kuliaka  122102 ,"[28.280366616743343,77.18205036076925]",POWERGRID
1437,raiseena  122102 ,"[28.302677488984227,77.02724164627323]",POWERGRID
1438,  122051 ,"[28.337982370354982,76.96165648166757]",POWERGRID
1439,western peripheral expy kharkhari  122103 ,"[28.21764614778641,77.00034133323474]",POWERGRID
1440,chhatarpur temple inside rd dr ambedkar colony chhattarpur new delhi delhi 110030 ,"[28.502178588193136,77.17691262533764]",POWERGRID
1441, gothda mohbtabad  121004 ,"[28.369559568189672,77.21910569155213]",POWERGRID
1442, 122102 ,"[28.278426329473643,77.06167842312324]",POWERGRID
1443,256 nitin vihar nahar pur rupa sector 33 gurugram  122001 ,"[28.439873153743275,77.01484243845836]",POWERGRID
1444, harijan basti rajokri new delhi delhi ,"[28.515534284203156,77.12112816380349]",POWERGRID
1445, khandsha sector 37 gurugram  122004 ,"[28.430440708610043,77.0044809386304]",POWERGRID
1446,73 crusher zone rd pali  121004 ,"[28.39693182664767,77.2271344283012]",POWERGRID
1447,nainwal road nainwal  122101 ,"[28.33646578849672,76.94101382295939]",POWERGRID
1448,western peripheral expy gurugram  122506 ,"[28.420696466803662,76.86476766014388]",POWERGRID
1449, sector 109 gurugram  122017 ,"[28.506595597988497,77.00018008934929]",POWERGRID
1450,a-96 chauma rd chandan vihar new palam vihar phase 3 sector 110a choma  122017 ,"[28.51140744746082,77.0277484298739]",POWERGRID
1451, garat pur bas  122103 ,"[28.32854344500381,76.99618508271755]",POWERGRID
1452,c-5 rosewood city rd rosewood city ghasola sector 49 gurugram  122018 ,"[28.412149816995232,77.05397800403838]",POWERGRID
1453,dhauj nurpur dhumaspur  121004 ,"[28.345704414325414,77.20832692187989]",POWERGRID
1454,1076/1 dayanand colony near sec.5 opp.police chowki gurugram  122001 ,"[28.450971303717562,77.0268887601334]",POWERGRID
1455, rajpur khurd village maidan garhi new delhi delhi 110030 ,"[28.49496959162602,77.19536379196971]",POWERGRID
1456, gothda mohbtabad  121004 ,"[28.371588107684893,77.22380509499945]",POWERGRID
1457, garat pur bas  122103 ,"[28.346856599318382,77.01292743328506]",POWERGRID
1458, daryapur khurd village delhi 110073 ,"[28.54703631138441,76.91706365801817]",POWERGRID
1459, delhi 110043 ,"[28.52478964495121,76.93293519903979]",POWERGRID
1460, aklimpur  122103 ,"[28.36177490328232,77.03954624681128]",POWERGRID
1461, garhi bazidpur  122102 ,"[28.299661564875652,77.09733026195342]",POWERGRID
1462,  122102 ,"[28.400319916364975,77.12018912450927]",POWERGRID
1463,  122102 ,"[28.32565720755389,76.97075479307699]",POWERGRID
1464,sohna rural  ,"[28.252650089957182,77.04409471313046]",POWERGRID
1465,sohna rd dhunela  122103 ,"[28.291270675169024,77.06328488403196]",POWERGRID
1466,green ave st ghitorni new delhi delhi 110070 ,"[28.50687898515404,77.14688643988704]",POWERGRID
1467,7074 b- 10 pocket 10 sector b vasant kunj new delhi delhi 110070 ,"[28.533210091066007,77.15307393857435]",POWERGRID
1468,indira gandhi international airport (del) new delhi delhi 110037 ,"[28.56256526863444,77.08253927217541]",POWERGRID
1469, alampur  121005 ,"[28.314952474477202,77.19841984284592]",POWERGRID
1470,siddhant temple rd sector 77 gurugram  122004 ,"[28.378776187771248,76.97600835294304]",POWERGRID
1471,pataudi - dhorka road dhorka  122051 ,"[28.40398591096203,76.9007090426671]",POWERGRID
1472, 122102 ,"[28.297248557311207,77.09352406264047]",POWERGRID
1473, surhera delhi 110043 ,"[28.583008703044015,76.95401140717523]",POWERGRID
1474, garhi harsaru gurugram  122505 ,"[28.45258804078265,76.94128622152205]",POWERGRID
1475, mohammadpur gujar  122103 ,"[28.272020133367,77.05111428513128]",POWERGRID
1476, balola  122102 ,"[28.413783706424542,77.13460934469468]",POWERGRID
1477,  122503 ,"[28.35504417023748,76.85355269304131]",POWERGRID
1478, raota delhi 110073 ,"[28.518298768961376,76.90517403208482]",POWERGRID
1479,uer ii sector 24 dwarka dwarka delhi 110061 ,"[28.56065841621089,77.03313177990994]",POWERGRID
1480,plot no. 316 khasra no 497  main basai road village basai gurgaon () ,"[28.482001645174385,77.02662333487953]",POWERGRID
1481,sector 88b gurugram  122505 ,"[28.449209301912525,76.95767460836424]",POWERGRID
1482, 122102 ,"[28.277852947622677,77.0310718735307]",POWERGRID
1483, panchgaon  122015 ,"[28.311511679903145,76.90045143413472]",POWERGRID
1484, sondh  122103 ,"[28.261885490044097,76.99857331056279]",POWERGRID
1485,vatika tower iilm institute sector 53 gurugram  122003 ,"[28.436566139238707,77.10381273948848]",POWERGRID
1486, dadupur  122015 ,"[28.284594721333566,76.95939875673436]",POWERGRID
1487,  122103 ,"[28.277219814402063,76.99069051964246]",POWERGRID
1488,pulawas  122102 ,"[28.309780599679183,77.0846543615509]",POWERGRID
1489,igi airport t3 road indira gandhi international airport new delhi delhi 110037 ,"[28.547072666320823,77.10850318626237]",POWERGRID
1490,335/1ward no.4main market nai basti mehrauli new delhi delhi 110030 ,"[28.520768268964467,77.17863611131398]",POWERGRID
1491,sohna-mandkola rd atta  122103 ,"[28.22224686007574,77.0831603883085]",POWERGRID
1492, tethar  122102 ,"[28.30006507719467,77.16816606042273]",POWERGRID
1493,packers and movers gurgaon packers and movers in gurgaon movers and packers gu rgaon movers and packers in gurugram  122051 ,"[28.34883417159021,76.92533906229198]",POWERGRID
1494,  122506 ,"[28.410956618308813,76.84934621809003]",POWERGRID
1495, rojka  122103 ,"[28.209449901494587,77.06688458178111]",POWERGRID
1496,393 phase iii nh-8 phase ii sector 22a sector 20 gurugram  122008 ,"[28.504389811328007,77.08956156193453]",POWERGRID
1497,294 block c sushant lok iii sector 57 gurugram  122003 ,"[28.42317479548295,77.07742196968502]",POWERGRID
1498,faridabad  ,"[28.307336827786408,77.17153992611632]",POWERGRID
1499,summer sprint 2  122005 ,"[28.375885313036303,77.16028032872251]",POWERGRID
1500,  122102 ,"[28.39209833184488,77.1423574398713]",POWERGRID
1501, fatehpur beri new delhi delhi 110074 ,"[28.446961961307736,77.1827118619945]",POWERGRID
1502,lal dora road chhawla delhi 110071 ,"[28.559771083556814,76.99946841714218]",POWERGRID
1503, khori jamalpur  ,"[28.297768947259673,77.18869413740228]",POWERGRID
1504,mdr137 new delhi  110074 ,"[28.4040225019611,77.17697223883796]",POWERGRID
1505, sirohi  121005 ,"[28.31358643324363,77.18992145721795]",POWERGRID
1506,  122005 ,"[28.37185529125754,77.08888559728396]",POWERGRID
1507,bhatti kalan new delhi delhi ,"[28.43205242384513,77.21762959097498]",POWERGRID
1508,nangli umarpur road ullahawas sector 62 gurugram  122005 ,"[28.40627410736861,77.0826953715475]",POWERGRID
1509, shikarpur delhi 110073 ,"[28.5197838011643,76.94092251635848]",POWERGRID
1510, nawada fatehpur sector 87 gurugram  122051 ,"[28.39092541613872,76.92837236286495]",POWERGRID
1511,  122102 ,"[28.29707906255989,77.05689693041339]",POWERGRID
1512,damdama lake rd abhepur  122102 ,"[28.29462526624756,77.12101804300589]",POWERGRID
1513,damdama lake rd behlpa  122102 ,"[28.33005859134416,77.10811699635143]",POWERGRID
1514, 122102 ,"[28.263338676277264,77.09619746468091]",POWERGRID
1515,manger - dhauj rd  121005 ,"[28.36233705315028,77.18256793646776]",POWERGRID
1516,skyview corporate park sector 74a gurugram  122004 ,"[28.407777980037967,76.99460942278655]",POWERGRID
1517,western peripheral expy sehsaula  122103 ,"[28.209323812432086,77.03334360122196]",POWERGRID
1518,vishvkarma colony basai road near govt. college sector 9 gurugram  122001 ,"[28.456742730160492,76.99230504700445]",POWERGRID
1519, sehsaula  122103 ,"[28.214618536402135,77.03938547558909]",POWERGRID
1520, indira gandhi international airport new delhi delhi 110061 ,"[28.549828987719863,77.0625472910205]",POWERGRID
1521,tauru rd  122015 ,"[28.251939630542942,76.92735740210192]",POWERGRID
1522,dx-106 kendriya vihar sector 56 gurugram  122011 ,"[28.424291539518762,77.09245583087117]",POWERGRID
1523,mallu farm ansal villas sat bari new delhi delhi 110074 ,"[28.47485092898666,77.18599065190276]",POWERGRID
1524, sayyad mohamadpur  122505 ,"[28.43883445325657,76.86591504841574]",POWERGRID
1525,pataudi rd gurugram  122505 ,"[28.43853292139503,76.96597127234698]",POWERGRID
1526,najafgarh dauralla rd hasanpur delhi 110073 ,"[28.553651692527165,76.93495153035715]",POWERGRID
1527,village jhundsarai sector 96 gurugram  122052 ,"[28.396302058531074,76.88130500942049]",POWERGRID
1528,summer sprint  121005 ,"[28.376237471720923,77.19584926910129]",POWERGRID
1529, chhawla delhi 110071 ,"[28.558829504998094,77.00243414678062]",POWERGRID
1530,pradhanji007 pradhanji007 dera village dera mandi new delhi delhi 110074 ,"[28.435897750534473,77.18264315206315]",POWERGRID
1531,mdr137 new delhi  121012 ,"[28.406439476041452,77.21399056998034]",POWERGRID
1532,  122506 ,"[28.41877097165274,76.85315527533439]",POWERGRID
1533, pakhal gothda mohbtabad  121005 ,"[28.371246245002048,77.21120211590085]",POWERGRID
1534,1218 lig colony sector 31 gurugram  122001 ,"[28.45142222542364,77.05032304961136]",POWERGRID
1535,rd number 30 daulatpur delhi 110043 ,"[28.544050090528927,76.95311805224316]",POWERGRID
1536,western peripheral expy padheni  122103 ,"[28.2178556527615,76.99518091170792]",POWERGRID
1537,asola farm rd asola homes asola new delhi delhi 110074 ,"[28.46313867221001,77.1905218441768]",POWERGRID
1538,2121 urban estate sector 4 gurugram  122001 ,"[28.472182222762655,77.00700330619843]",POWERGRID
1539, phase 1 chattarpur enclave maidan garhi new delhi delhi 110030 ,"[28.499858850212014,77.19117361342629]",POWERGRID
1540,western peripheral expy chandla dungerwas  122015 ,"[28.299355865221525,76.8966695776043]",POWERGRID
1541,raghopur main rd raghopur gurugram  110071 ,"[28.520711003502765,77.00484366153131]",POWERGRID
1542, gurugram  122051 ,"[28.34345771588767,76.90176766707918]",POWERGRID
1543,udepuri  ,"[28.282828015061195,76.91631549827436]",POWERGRID
1544,  122102 ,"[28.389827079023725,77.12753227221006]",POWERGRID
1545, sector 3 imt manesar gurugram  122052 ,"[28.362364361733647,76.92629417896251]",POWERGRID
1546,mdr137 baliawas bandhwari  122005 ,"[28.436290158626157,77.13128643858724]",POWERGRID
1547, 122102 ,"[28.289212551990875,77.00976170671747]",POWERGRID
1548,gate # 2 beumer  private limited 157 naurangpur rd sector 78 gurugram  122004 ,"[28.364163180166006,76.96578287886284]",POWERGRID
1549, 122102 ,"[28.31014049386429,77.07835173651164]",POWERGRID
1550,al faiz road dhauj  121005 ,"[28.3458802487863,77.18064550364127]",POWERGRID
1551,  122413 ,"[28.294764802302105,76.90851884370586]",POWERGRID
1552,k386 street number 8 mahipalpur extention mahipalpur new delhi delhi 110037 ,"[28.54210110146439,77.1232854414243]",POWERGRID
1553,vijay rao marg sadhrana bamripur gurugram  122505 ,"[28.455478189352988,76.90259597150062]",POWERGRID
1554,uer ii indira gandhi international airport new delhi delhi 110037 ,"[28.54829014789529,77.07566160001168]",POWERGRID
1555, garat pur bas  122102 ,"[28.345792286245985,76.99507269243365]",POWERGRID
1556,tauru rd  122015 ,"[28.23323841123926,76.94199459762358]",POWERGRID
1557,rao matadin yadav marg d block kapas hera estate new delhi delhi 110037 ,"[28.5287732180362,77.0908227031557]",POWERGRID
1558, balola bandhwari  122005 ,"[28.40390341896669,77.14969269526739]",POWERGRID
1559,micromax moulsari avenue ambience island dlf phase 3 sector 24 gurugram  122010 ,"[28.501066756762963,77.09551918467004]",POWERGRID
1560,vijay singh marg anand gram rajokri new delhi delhi 110070 ,"[28.504159674007102,77.12210350601224]",POWERGRID
1561, industrial development area sector 16 gurugram  122007 ,"[28.467638934297625,77.0510297172285]",POWERGRID
1562, gurugram  122015 ,"[28.31853766610831,76.91935653590234]",POWERGRID
1563, mandawar  122102 ,"[28.283596484021878,77.16159598246828]",POWERGRID
1564,  122102 ,"[28.341488247235983,77.15528719588538]",POWERGRID
1565,l-31/1 l-31 heritage city sector 25 gurugram  122022 ,"[28.480586690167986,77.07833202366776]",POWERGRID
1566, n air lines & air  estate vasant kunj new delhi delhi 110076 ,"[28.54972843493262,77.15016764006107]",POWERGRID
1567,summer sprint 2  122005 ,"[28.39540486997822,77.16268155822428]",POWERGRID
1568, harchandpur  122102 ,"[28.267112426237123,77.12574203680713]",POWERGRID
1569, sultanpur  122505 ,"[28.455813464357824,76.86159549530532]",POWERGRID
1570,vill sec 74 begumpur khatola sector 74 gurugram  122004 ,"[28.41257595096655,77.01406664897671]",POWERGRID
1571,budhera gurugram  122505 ,"[28.494077315526496,76.92196757150788]",POWERGRID
1572, 122102 ,"[28.280224964770827,77.0252965053292]",POWERGRID
1573,  122503 ,"[28.368598950430602,76.84298172434839]",POWERGRID
1574,tauru rd  122015 ,"[28.23756089470714,76.93702782170169]",POWERGRID
1575,655 kapas hera estate gurugram  122015 ,"[28.515803708464112,77.08845305495883]",POWERGRID
1576, alipur  122103 ,"[28.30864890964821,77.06170406165772]",POWERGRID
1577, daurala village delhi 110073 ,"[28.513522746111665,76.90196998550448]",POWERGRID
1578,mdr137 new delhi  121012 ,"[28.40798632064665,77.22444660776443]",POWERGRID
1579,archview drive alahawas sector 58 gurugram  122005 ,"[28.410667297265896,77.10627344899083]",POWERGRID
1580,sohna rd sohna rural  122103 ,"[28.273334517182455,77.06664689090512]",POWERGRID
1581,kherki  122413 ,"[28.308527134211012,76.95015402341204]",POWERGRID
1582,2 chinar drive chhatarpur farms chhattarpur new delhi delhi 110030 ,"[28.482034491854368,77.1740832391754]",POWERGRID
1583,alampur  121004 ,"[28.323643863863488,77.19628392286052]",POWERGRID
1584, ghamroj  122102 ,"[28.327935568971757,77.05831498133253]",POWERGRID
1585,station rd sultanpur gurugram  122505 ,"[28.461560778228932,76.86821880071827]",POWERGRID
1586,unnamed road 122101 sector 80 gurugram  122051 ,"[28.364734197129327,76.96049818397378]",POWERGRID
1587, rajokri village rajokri new delhi delhi 110038 ,"[28.499939445929375,77.12024984349131]",POWERGRID
1588,  122102 ,"[28.369723281874442,77.1171473243686]",POWERGRID
1589, sector 21 gurugram  122016 ,"[28.513177676524844,77.07281667294693]",POWERGRID
1590, ambience island dlf phase 3 sector 24 gurugram 122010 ,"[28.503091417638444,77.09483138532337]",POWERGRID
1591, gurugram  122051 ,"[28.36099387279556,76.88042211065913]",POWERGRID
1592,1304 block c uday nagar sector 45 gurugram  122003 ,"[28.442183717500576,77.06621819530119]",POWERGRID
1593,242/10 hans enclave sector 33 gurugram  122001 ,"[28.444298078232524,77.02572369684745]",POWERGRID
1594,new delhi delhi 110071 ,"[28.54076279455297,76.97414528977318]",POWERGRID
1595, baslambi  122503 ,"[28.35836847761246,76.8614684817729]",POWERGRID
1596, sancholi  122103 ,"[28.22626524177352,77.12302146202038]",POWERGRID
1597,summer sprint 2  122005 ,"[28.390649848133627,77.15400867261033]",POWERGRID
1598, teekli tikli  122103 ,"[28.355448667541623,77.02712625897844]",POWERGRID
1599, gurugram  122051 ,"[28.34476534405089,76.9209515750299]",POWERGRID
1600,summer sprint 2  122005 ,"[28.38798107586685,77.1479227835142]",POWERGRID
1601,rd number 1 block g2 block g aya nagar extension aya nagar new delhi delhi 110047 ,"[28.462657011713965,77.1356850029414]",POWERGRID
1602,  122102 ,"[28.36057940735838,77.11321592492645]",POWERGRID
1603,smq 134/7 old pinto park prahladpur delhi cantonment new delhi delhi 110010 ,"[28.57259928820969,77.10186885555818]",POWERGRID
1604,  122503 ,"[28.37632205161854,76.85423816389844]",POWERGRID
1605,c-6 ansal villassatbarichattarpur c-block new delhi delhi 110074 ,"[28.4803445274656,77.19752766281113]",POWERGRID
1606, jhanjraula jhanjrola  122505 ,"[28.491147989700806,76.86956845313064]",POWERGRID
1607, 122102 ,"[28.31468249860607,76.98186974673624]",POWERGRID
1608,one farms road  122102 ,"[28.251123361757326,77.16134589245509]",POWERGRID
1609, imt manesar gurugram  122051 ,"[28.366063302447067,76.88606460667141]",POWERGRID
1610, 122103 ,"[28.231510070686387,77.08419705810873]",POWERGRID
1611, anand gram rajokri new delhi delhi 110070 ,"[28.513783229762673,77.12531630755217]",POWERGRID
1612, ghummanhera delhi 110073 ,"[28.525844925054255,76.92524521909962]",POWERGRID
1613, 122102 ,"[28.291412592422258,77.15927863800788]",POWERGRID
1614,421/b block c sadh nagar ii palam colony new delhi delhi 110045 ,"[28.59352527750503,77.0909159779028]",POWERGRID
1615, gurugram  122051 ,"[28.38326292223079,76.9275654760418]",POWERGRID
1616,gothda mohbtabad  ,"[28.380104840030633,77.20490075831532]",POWERGRID
1617,aya nagar extension aya nagar new delhi delhi ,"[28.458753971630873,77.13516241179511]",POWERGRID
1618,nh248a durga colony sohna  122103 ,"[28.238279243428003,77.06974732277246]",POWERGRID
1619,farukhnagar rd sector 89 gurugram  122051 ,"[28.4148099747807,76.94357544594467]",POWERGRID
1620,kherki-hasanpur kherki  122015 ,"[28.307670821575208,76.93461479961888]",POWERGRID
1621,vatika rd gurugram  122004 ,"[28.392780143718262,76.96623650722499]",POWERGRID
1622, sector 59 gurugram  122102 ,"[28.392693242320536,77.11782538364996]",POWERGRID
1623, sherpur extention delhi 110073 ,"[28.562111615178218,76.92422873608524]",POWERGRID
1624,  122102 ,"[28.404454182560304,77.13314519315296]",POWERGRID
1625,gurjar vijay singh pathik marg garhi bazidpur  122102 ,"[28.30282495981954,77.09057985749716]",POWERGRID
1626, sohna rural  ,"[28.25447647782449,77.05478819462147]",POWERGRID
1627,  122102 ,"[28.336596316879934,77.14601377051939]",POWERGRID
1628,nanak heri road dharampur sector 108 gurugram delhi 122017 ,"[28.516662481564936,76.98259936619446]",POWERGRID
1629,farukhnagar road sector 89a gurugram  122004 ,"[28.415856044935925,76.9520039381374]",POWERGRID
1630,alawalpur  121004 ,"[28.34356360216325,77.21422438637265]",POWERGRID
1631,  122102 ,"[28.336772868091792,77.14719852867978]",POWERGRID
1632,samrat mihir bhoj rd ramgarh gurugram  122102 ,"[28.38722932231676,77.07278057034519]",POWERGRID
1633,1059-1071 sector a sector-a vasant kunj new delhi delhi 110070 ,"[28.514860365872558,77.16913478766796]",POWERGRID
1634, imt manesar gurugram  122052 ,"[28.364567972570647,76.9507898354484]",POWERGRID
1635, mankrola mankraula  122505 ,"[28.49861006378493,76.90418556204604]",POWERGRID
1636, kankrola gurugram  122051 ,"[28.389431993524358,76.9298845494219]",POWERGRID
1637,baluda  122102 ,"[28.250052184939747,77.1033095073791]",POWERGRID
1638, gurugram  122505 ,"[28.461409842146946,76.92499757431683]",POWERGRID
1639, basai village sector 9b gurugram  122006 ,"[28.459417462985893,76.9874964888695]",POWERGRID
1640, 122102 ,"[28.27264004534136,77.02838445557808]",POWERGRID
1641, rewla khanpur delhi 110071 ,"[28.57491930222097,76.9905920283175]",POWERGRID
1642, ammunition depot area gurugram  122015 ,"[28.488737534822,77.03947346144892]",POWERGRID
1643,nazafgarh - gurgaon road bsf camp chawala chhawla delhi 110071 ,"[28.551690089019267,77.00896092718332]",POWERGRID
1644,amity university connecting rd panchgaon  122015 ,"[28.315517169807784,76.90638693023703]",POWERGRID
1645,indira gandhi international airport (del) new delhi delhi 110037 ,"[28.564674294356056,77.08405883439899]",POWERGRID
1646, sector 99a gurugram  122505 ,"[28.456884339073625,76.94316056055285]",POWERGRID
1647,642 pace city ii sector 37 gurugram  122004 ,"[28.4306516257297,76.99402230592568]",POWERGRID
1648,mdr137 sanjay colony bhatti kalan new delhi  110074 ,"[28.4186429069429,77.22614890949491]",POWERGRID
1649,thai airways international public company limited indira gandhi international airport terminal 3 room no.ol-28 4th floor terminal building new delhi delhi 110037 ,"[28.553223414713738,77.08399737161615]",POWERGRID
1650,sector 17/18 dividing rd sukhrali enclave sector 17 gurugram  122022 ,"[28.487366078106355,77.05809290531685]",POWERGRID
1651,sohna rd bhondsi  122102 ,"[28.3672026897312,77.0585292604632]",POWERGRID
1652, gwaliar  122413 ,"[28.323164909940026,76.93554664907876]",POWERGRID
1653,  122101 ,"[28.36070185007067,76.99782148593434]",POWERGRID
1654, new colony garhi harsaru gurugram  122505 ,"[28.442541292797358,76.93001105026654]",POWERGRID
1655,142 st thomas marg dlf phase 5 sector 43 gurugram  122002 ,"[28.449734815579625,77.09048102828594]",POWERGRID
1656,  122103 ,"[28.294962315931137,77.05930305781038]",POWERGRID
1657, budhera gurugram  122505 ,"[28.493017273017035,76.94599570087833]",POWERGRID
1658,rz-295m bhagat singh marg block j palam colony raj nagar ii extension raj nagar new delhi delhi 110077 ,"[28.57935546799436,77.08624397452738]",POWERGRID
1659,  122102 ,"[28.3031370341715,77.0347987655259]",POWERGRID
1660,  122503 ,"[28.37854773442293,76.8500175971056]",POWERGRID
1661,499 sector 5 gurugram  122006 ,"[28.48406418244293,77.02010452113579]",POWERGRID
1662,g3 raisina ansal aravali retreat  122102 ,"[28.303519767208957,77.01163054268443]",POWERGRID
1663,sh28 chehalka  122103 ,"[28.262850997052436,77.02354081761746]",POWERGRID
1664, sat bari new delhi delhi 110074 ,"[28.469200324402724,77.19928109019565]",POWERGRID
1665,51 sector 32 gurugram  122001 ,"[28.447675263009756,77.0428188819232]",POWERGRID
1666, pocket 5 sector c vasant kunj new delhi delhi 110070 ,"[28.53836646295016,77.14754527096554]",POWERGRID
1667,near indira gandhi international airport new delhi delhi 110037 ,"[28.55233366536585,77.11138390896606]",POWERGRID
1668,garhi harsaru rd garhi harsaru gurugram  122505 ,"[28.452511417042345,76.92667815831915]",POWERGRID
1669,bissar akbarpur in  ,"[28.28707016310036,76.95282251196281]",POWERGRID
1670,470 phase 2 rail vihar sector 57 gurugram  122003 ,"[28.424137219111458,77.08697454434494]",POWERGRID
1671, gurugram  122505 ,"[28.412679092320207,76.9242778013538]",POWERGRID
1672,permit line road  122102 ,"[28.3206665269439,77.08950398844974]",POWERGRID
1673,14 raipur  122103 ,"[28.22510749422384,77.06543213336398]",POWERGRID
1674,al faiz road dhauj  121005 ,"[28.34303169813878,77.18180311483022]",POWERGRID
1675,shanti kunj block - b  122102 ,"[28.363638145394713,77.0756499667242]",POWERGRID
1676,deengarheri  ,"[28.25785674892251,76.97516655118623]",POWERGRID
1677,a2/210 ishwar colony phase v aya nagar extension aya nagar new delhi delhi 110047 ,"[28.473797683522754,77.12116692752184]",POWERGRID
1678,5 old delhi gurgaon rd ammunition depot area inayatpur  122001 ,"[28.486248654766218,77.05488060611083]",POWERGRID
1679, 122102 ,"[28.280997610989182,77.03211229752469]",POWERGRID
1680, 122102 ,"[28.3279912857241,76.97223051965864]",POWERGRID
1681,farukh nagar - wazirpur rd  122505 ,"[28.441564912960736,76.84094457522063]",POWERGRID
1682,abhepur  122102 ,"[28.29651590614277,77.1324327495085]",POWERGRID
1683, baluda  122102 ,"[28.25233617786291,77.11227595882866]",POWERGRID
1684,opposite ss omnia sector 85 gurugram  122004 ,"[28.400449907341034,76.95009112457433]",POWERGRID
1685, gurugram  122505 ,"[28.427227668251668,76.90868128939178]",POWERGRID
1686, sultanpur gurugram  122006 ,"[28.473906627938206,76.86357912260841]",POWERGRID
1687,igd metro station thimayya marg sport view delhi cantonment new delhi delhi 110010 ,"[28.565911604217053,77.12287406661986]",POWERGRID
1688,  122102 ,"[28.346913709140708,76.99295228601642]",POWERGRID
1689, khatrika  122102 ,"[28.273297122391845,77.17972503830757]",POWERGRID
1690, 122102 ,"[28.31639615602222,77.1004508342787]",POWERGRID
1691,  121004 ,"[28.348147206386844,77.21801494791782]",POWERGRID
1692,mata jai devi marg dr ambedkar colony chattarpur enclave chhattarpur new delhi delhi 110030 ,"[28.50426205582433,77.18899751836004]",POWERGRID
